ra,dec,d,phase,start_times,end_times
100.10314,-14.38113,1143.9,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
107.94503,10.39633,361.1,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
105.86214,14.34732,354.9,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
105.97709,12.97345,336.1,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
3.54304,55.28548,431.3,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
350.12845,61.48057,376.9,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
106.10129,14.78785,335.0,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
106.49719,10.79885,339.2,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
107.30605,16.53856,335.3,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
95.00673,-11.2085,919.2,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
100.03731,-15.39871,1191.3,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
326.89011,76.63972,255.9,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
306.86993,39.48679,1032.0,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
105.88219,21.09647,400.0,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
308.63066,39.98347,957.7,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
102.91737,7.3602,300.6,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
307.66788,38.29755,1023.4,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
316.76824,47.7324,744.3,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
337.18586,59.86645,451.8,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
105.26158,8.75398,439.8,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
207.06662,81.85816,179.1,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
98.99106,-14.68126,1124.0,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
94.05006,-11.33326,981.4,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
308.00933,37.48065,995.7,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
114.13872,14.44866,343.1,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
339.12125,52.7233,454.3,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
103.69847,4.73062,241.0,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
307.36143,31.81708,1062.4,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
356.69909,51.90819,421.5,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
0.39608,52.63143,399.8,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
307.7718,41.4587,993.0,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
307.59288,38.21674,979.5,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
307.3839,39.69443,957.3,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
93.28695,-9.31365,916.2,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
106.40277,2.29741,405.4,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
320.65601,47.29072,619.9,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
105.44265,14.04011,377.4,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
106.92561,5.91151,363.0,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
107.0704,8.97894,308.2,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
94.72997,-5.21365,831.7,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
315.36616,46.97229,770.5,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
306.55559,38.80084,949.7,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
311.4105,45.7369,792.5,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
316.99626,47.45607,733.7,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
324.55293,75.14948,368.9,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
105.43214,23.69791,391.5,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
101.64898,19.20711,378.3,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
107.03054,20.19174,410.9,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
108.26975,20.29123,404.0,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
106.78593,12.03902,355.6,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
106.1362,11.06583,395.0,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
107.58863,10.88439,412.1,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
105.07645,0.49773,419.2,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
94.68364,-5.56766,847.2,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
95.62515,-5.42867,832.0,82,2024-01-08T11:55:55Z,2024-01-09T11:55:55Z
