ra,dec,d,phase
107.5667,-9.01286,1361.9679,0
107.53086,-9.05901,1356.5059,0
107.49335,-9.10524,1351.0238,0
107.4541,-9.15144,1345.5219,0
107.41308,-9.19775,1340.0,0
107.37019,-9.244,1334.4583,0
107.32556,-9.29023,1328.897,0
107.27893,-9.33657,1323.316,0
107.23048,-9.38293,1317.7154,0
107.18002,-9.4294,1312.0953,0
107.12759,-9.47585,1306.4559,0
107.07311,-9.52233,1300.7972,0
107.01662,-9.56891,1295.1193,0
106.95799,-9.61556,1289.4225,0
106.89734,-9.66232,1283.7066,0
106.83441,-9.70909,1277.9719,0
106.76923,-9.75598,1272.2186,0
106.70191,-9.80293,1266.4468,0
106.63226,-9.85003,1260.6565,0
106.56031,-9.89714,1254.848,0
106.48594,-9.94445,1249.0213,0
106.40928,-9.99177,1243.1768,0
106.33006,-10.03924,1237.3145,0
106.24854,-10.08672,1231.4345,0
106.16436,-10.13439,1225.5371,0
106.0778,-10.18211,1219.6225,0
105.98853,-10.22992,1213.6908,0
105.89678,-10.27783,1207.7423,0
105.80232,-10.32584,1201.7771,0
105.70529,-10.37398,1195.7954,0
105.6055,-10.42211,1189.7973,0
105.503,-10.47034,1183.7833,0
105.39774,-10.51856,1177.7534,0
105.28968,-10.56691,1171.7078,0
105.17885,-10.61524,1165.6468,0
105.06508,-10.66366,1159.5705,0
104.94854,-10.71206,1153.4794,0
104.82914,-10.76048,1147.3734,0
104.70684,-10.80885,1141.2529,0
104.58154,-10.85719,1135.1181,0
104.45342,-10.90541,1128.9691,0
104.32226,-10.95374,1122.8061,0
104.18819,-11.00177,1116.6296,0
104.05112,-11.04976,1110.4395,0
103.91109,-11.09758,1104.2362,0
103.76797,-11.14519,1098.0198,0
103.62193,-11.1927,1091.7905,0
103.47292,-11.2398,1085.5486,0
103.32082,-11.28668,1079.2941,0
103.16581,-11.33324,1073.0273,0
103.00787,-11.37947,1066.7483,0
102.84684,-11.42523,1060.4573,0
102.68288,-11.47067,1054.1544,0
102.51596,-11.51545,1047.8397,0
102.34617,-11.55977,1041.5134,0
102.17347,-11.60351,1035.1754,0
101.99788,-11.64656,1028.826,0
101.81943,-11.68891,1022.4652,0
101.63816,-11.73041,1016.093,0
101.4541,-11.77116,1009.7094,0
101.26732,-11.81102,1003.3144,0
101.07785,-11.84985,996.908,0
100.88561,-11.8877,990.4902,0
100.69087,-11.92444,984.0609,0
100.4936,-11.95996,977.6201,0
100.29374,-11.99419,971.1675,0
100.09149,-12.02703,964.703,0
99.88689,-12.05857,958.2264,0
99.67991,-12.0885,951.7378,0
99.47064,-12.11677,945.2367,0
99.25932,-12.14339,938.723,0
99.04585,-12.16819,932.1963,0
98.83034,-12.19111,925.6564,0
98.61293,-12.21198,919.1029,0
98.39358,-12.23072,912.5356,0
98.17248,-12.24724,905.954,0
97.94983,-12.26146,899.3577,0
97.7254,-12.27315,892.7463,0
97.49957,-12.28238,886.1194,0
97.27221,-12.28887,879.4766,0
97.0436,-12.2925,872.8173,0
96.81363,-12.29324,866.1411,0
96.58266,-12.29091,859.4473,0
96.35062,-12.28536,852.7356,0
96.11761,-12.27653,846.0053,0
95.88373,-12.26417,839.256,0
95.64914,-12.24813,832.4871,0
95.41385,-12.2284,825.6979,0
95.17795,-12.20474,818.8878,0
94.94165,-12.17707,812.0565,0
94.70493,-12.14509,805.2033,0
94.46787,-12.10878,798.3276,0
94.23073,-12.06792,791.4288,0
93.99329,-12.02231,784.5064,0
93.75597,-11.97188,777.5599,0
93.51871,-11.91625,770.5888,0
93.28151,-11.85543,763.5925,0
93.04452,-11.78926,756.5707,0
92.80781,-11.71742,749.5227,0
92.57148,-11.63965,742.4483,0
92.3355,-11.55588,735.3471,0
92.1001,-11.46592,728.2186,0
91.86512,-11.36944,721.0626,0
91.63084,-11.26631,713.8788,0
91.39719,-11.15617,706.6669,0
91.16412,-11.03895,699.4269,0
90.93187,-10.91423,692.1586,0
90.70036,-10.78186,684.8619,0
90.4695,-10.64147,677.5368,0
90.23957,-10.49294,670.1832,0
90.01044,-10.33582,662.8015,0
89.78215,-10.16978,655.3919,0
89.5546,-9.99467,647.9544,0
89.32798,-9.80999,640.4895,0
89.10214,-9.61549,632.9976,0
88.87707,-9.41076,625.4792,0
88.6528,-9.19549,617.935,0
88.42927,-8.96916,610.3656,0
88.20645,-8.73136,602.7717,0
87.98424,-8.48173,595.1543,0
87.76264,-8.21972,587.5145,0
87.54161,-7.94492,579.8532,0
87.32102,-7.65675,572.1717,0
87.10078,-7.35469,564.4715,0
86.88082,-7.03813,556.7538,0
86.66094,-6.7066,549.0204,0
86.44117,-6.35922,541.2731,0
86.22131,-5.99561,533.5138,0
86.00122,-5.61483,525.7445,0
85.7808,-5.21626,517.9674,0
85.55977,-4.799,510.1851,0
85.33796,-4.36234,502.4001,0
85.11521,-3.90541,494.6153,0
84.89133,-3.42714,486.8336,0
84.66598,-2.92665,479.0583,0
84.43899,-2.40294,471.293,0
84.21007,-1.85486,463.5413,0
83.97878,-1.28127,455.8074,0
83.74501,-0.68102,448.0955,0
83.5082,-0.05268,440.4103,0
83.26808,0.60489,432.7566,0
83.02406,1.29323,425.1399,0
82.77583,2.01376,417.566,0
82.52285,2.768,410.0407,0
82.26453,3.55749,402.5707,0
82.00024,4.3841,395.163,0
81.72936,5.24934,387.825,0
81.45112,6.15509,380.5647,0
81.16483,7.10314,373.3907,0
80.86948,8.09545,366.3121,0
80.56416,9.13381,359.3384,0
80.24788,10.22022,352.4802,0
79.91935,11.35648,345.7484,0
79.57738,12.54463,339.1546,0
79.22057,13.78623,332.7112,0
78.84734,15.08316,326.4313,0
78.45586,16.43691,320.3284,0
78.04422,17.84888,314.4172,0
77.61037,19.32031,308.7127,0
77.15185,20.85179,303.2307,0
76.66587,22.44388,297.9873,0
76.14958,24.09659,292.9992,0
75.59958,25.80944,288.2837,0
75.0119,27.5812,283.8582,0
74.38257,29.41002,279.7399,0
73.7065,31.29329,275.9461,0
72.97823,33.22752,272.4937,0
72.19176,35.20839,269.3993,0
71.3401,37.23053,266.6782,0
70.41511,39.28756,264.3449,0
69.4078,41.37236,262.4124,0
68.30789,43.47646,260.892,0
67.10354,45.59073,259.7933,0
65.78178,47.70509,259.1236,0
64.3273,49.80869,258.8879,0
62.7231,51.89006,259.089,0
60.95039,53.93681,259.7271,0
58.98792,55.93634,260.7999,0
56.81269,57.87557,262.303,0
54.39991,59.7408,264.2294,0
51.72448,61.5183,266.5701,0
48.76135,63.19393,269.3144,0
45.48789,64.75352,272.4497,0
41.88739,66.18287,275.9624,0
37.95222,67.46822,279.8376,0
33.68886,68.59696,284.0596,0
29.12189,69.55794,288.6123,0
24.29777,70.34291,293.4791,0
19.28589,70.94689,298.6435,0
14.17371,71.36981,304.0891,0
9.06119,71.61601,309.7997,0
4.04874,71.69495,315.7597,0
359.22811,71.62002,321.9538,0
354.67273,71.40755,328.3674,0
350.43401,71.07543,334.987,0
346.54145,70.64156,341.7994,0
343.00471,70.12309,348.7924,0
339.8187,69.53582,355.9548,0
336.96784,68.89355,363.2759,0
334.43048,68.2083,370.7463,0
332.18127,67.48987,378.3571,0
330.19436,66.74668,386.1004,0
328.44415,65.98548,393.9694,0
326.90674,65.2117,401.9575,0
325.5594,64.42988,410.0596,0
324.38229,63.64345,418.2708,0
323.3569,62.85515,426.5875,0
322.46702,62.06731,435.0064,0
321.69783,61.28175,443.525,0
321.03636,60.4999,452.1415,0
320.47081,59.72278,460.8546,0
319.99076,58.9515,469.6637,0
319.58656,58.18683,478.5684,0
319.24989,57.42941,487.5689,0
318.97309,56.68014,496.6659,0
318.74896,55.93948,505.8599,0
318.57107,55.2082,515.1521,0
318.43364,54.48691,524.5434,0
318.33089,53.77646,534.0348,0
318.25797,53.07752,543.6274,0
318.21002,52.39095,553.322,0
318.18232,51.71786,563.119,0
318.17089,51.05909,573.0186,0
318.17158,50.41572,583.0201,0
318.18045,49.789,593.1229,0
318.1939,49.18021,603.3251,0
318.2084,48.5906,613.6246,0
318.22046,48.02146,624.0182,0
318.22684,47.4743,634.5019,0
318.22448,46.95056,645.0715,0
318.21014,46.45173,655.7213,0
318.18082,45.97917,666.4454,0
318.13408,45.53428,677.2372,0
318.0668,45.11852,688.0899,0
317.97664,44.73321,698.9961,0
317.86119,44.37941,709.9486,0
317.71815,44.05818,720.9406,0
317.5455,43.77047,731.9653,0
317.34153,43.51677,743.0172,0
317.10446,43.29754,754.0918,0
316.83333,43.11275,765.1857,0
316.52735,42.96225,776.2974,0
316.18608,42.84531,787.4268,0
315.80965,42.76083,798.5762,0
315.39905,42.70726,809.7493,0
314.95591,42.68256,820.9519,0
314.48227,42.68414,832.191,0
313.98176,42.70884,843.4747,0
313.45843,42.75305,854.8116,0
312.91764,42.8125,866.2099,0
312.36603,42.8827,877.6768,0
311.81107,42.95852,889.2177,0
311.26141,43.03454,900.835,0
310.72666,43.10523,912.5279,0
310.21738,43.16459,924.292,0
309.74447,43.20692,936.1191,0
309.31896,43.2266,947.9979,0
308.95177,43.21847,959.9151,0
308.65279,43.17758,971.8564,0
308.43028,43.10001,983.8091,0
308.29065,42.98268,995.7635,0
308.23711,42.82375,1007.7156,0
308.26967,42.62303,1019.6676,0
308.38379,42.38204,1031.6294,0
308.57105,42.10466,1043.6166,0
308.8177,41.79715,1055.6488,0
309.10627,41.46833,1067.7459,0
309.41467,41.12978,1079.923,0
309.71783,40.79576,1092.1854,0
309.98872,40.48191,1104.5268,0
310.19988,40.20523,1116.9276,0
310.32548,39.9817,1129.3597,0
310.34338,39.82559,1141.7933,0
310.23787,39.74652,1154.2077,0
310.00264,39.7478,1166.6005,0
309.64354,39.8248,1178.9916,0
309.18071,39.96342,1191.4192,0
308.651,40.14043,1203.9252,0
308.1068,40.3246,1216.5348,0
307.61285,40.47972,1229.2393,0
307.2377,40.56907,1241.994,0
307.0422,40.5617,1254.7385,0
307.06359,40.43819,1267.435,0
307.30115,40.19835,1280.1007,0
307.70566,39.86623,1292.8068,0
308.18043,39.49286,1305.6289,0
308.59544,39.15172,1318.5756,0
308.81547,38.92302,1331.5644,0
308.73902,38.86889,1344.4913,0
308.34113,39.00292,1357.3528,0
307.70917,39.26966,1370.2749,0
307.04904,39.54813,1383.3624,0
306.6326,39.68891,1396.5276,0
306.67282,39.58004,1409.5941,0
307.16811,39.22073,1422.6074,0
307.82674,38.76519,1435.7941,0
308.18116,38.47971,1449.0961,0
307.88956,38.56735,1462.251,0
307.0759,38.95013,1475.4406,0
306.41496,39.24052,1488.8521,0
107.45999,-9.0677,1361.9688,1
107.42306,-9.1144,1356.5095,1
107.38436,-9.16121,1351.0302,1
107.34392,-9.208,1345.5311,1
107.3018,-9.25486,1340.0122,1
107.25781,-9.30165,1334.4736,1
107.2119,-9.3485,1328.9155,1
107.16417,-9.39538,1323.3378,1
107.11452,-9.44233,1317.7407,1
107.06286,-9.48938,1312.1242,1
107.00924,-9.53641,1306.4885,1
106.95356,-9.58347,1300.8337,1
106.89588,-9.63063,1295.1598,1
106.83604,-9.67786,1289.4671,1
106.77411,-9.72523,1283.7554,1
106.70997,-9.77259,1278.0252,1
106.64369,-9.82,1272.2764,1
106.57507,-9.86756,1266.5093,1
106.50421,-9.91523,1260.7238,1
106.43106,-9.96292,1254.9203,1
106.35549,-10.01079,1249.0988,1
106.27762,-10.05868,1243.2595,1
106.19727,-10.10667,1237.4026,1
106.11445,-10.15475,1231.5282,1
106.02915,-10.20294,1225.6366,1
105.94138,-10.25121,1219.7278,1
105.85098,-10.29954,1213.8021,1
105.75802,-10.34801,1207.8598,1
105.66243,-10.39652,1201.9009,1
105.56418,-10.44521,1195.9257,1
105.46326,-10.49385,1189.9343,1
105.35963,-10.54258,1183.927,1
105.25324,-10.5913,1177.904,1
105.14413,-10.6401,1171.8655,1
105.03216,-10.68893,1165.8117,1
104.91743,-10.73775,1159.7427,1
104.79984,-10.78659,1153.659,1
104.6794,-10.83546,1147.5606,1
104.55604,-10.88427,1141.4478,1
104.42987,-10.93296,1135.3207,1
104.3007,-10.98162,1129.1797,1
104.16867,-11.03029,1123.0247,1
104.03363,-11.07871,1116.8562,1
103.89577,-11.127,1110.6743,1
103.75486,-11.17516,1104.4793,1
103.61094,-11.22305,1098.2712,1
103.4642,-11.2708,1092.0503,1
103.31441,-11.3182,1085.8168,1
103.1617,-11.36527,1079.5708,1
103.00598,-11.41206,1073.3124,1
102.84743,-11.45848,1067.0419,1
102.68587,-11.50439,1060.7593,1
102.52149,-11.54992,1054.4649,1
102.35404,-11.59485,1048.1586,1
102.18382,-11.63926,1041.8406,1
102.01077,-11.68305,1035.511,1
101.83493,-11.7261,1029.1697,1
101.65623,-11.76845,1022.8171,1
101.4747,-11.80995,1016.4528,1
101.29057,-11.85061,1010.0771,1
101.10372,-11.89038,1003.6898,1
100.91418,-11.92912,997.2909,1
100.72214,-11.96674,990.8804,1
100.52752,-12.00329,984.4582,1
100.33045,-12.03859,978.0243,1
100.13089,-12.07255,971.5783,1
99.92894,-12.10511,965.1202,1
99.72483,-12.13629,958.6497,1
99.51843,-12.16582,952.1668,1
99.30974,-12.19369,945.6711,1
99.09908,-12.21987,939.1624,1
98.88638,-12.24417,932.6404,1
98.67173,-12.26656,926.1048,1
98.45527,-12.28686,919.5551,1
98.23697,-12.30499,912.9912,1
98.01702,-12.32085,906.4126,1
97.79551,-12.33442,899.8188,1
97.57242,-12.34537,893.2094,1
97.34792,-12.35386,886.584,1
97.12208,-12.35953,879.9421,1
96.8951,-12.36231,873.2832,1
96.66684,-12.36215,866.6068,1
96.43759,-12.35893,859.9123,1
96.20746,-12.35239,853.1993,1
95.97645,-12.34254,846.4672,1
95.74467,-12.32913,839.7154,1
95.51218,-12.31203,832.9433,1
95.27918,-12.29117,826.1504,1
95.04567,-12.26634,819.336,1
94.81186,-12.23746,812.4996,1
94.57771,-12.20423,805.6408,1
94.34342,-12.16658,798.7588,1
94.10896,-12.12444,791.8531,1
93.87448,-12.07743,784.9232,1
93.64013,-12.0256,777.9685,1
93.40593,-11.96853,770.9886,1
93.17188,-11.90623,763.9829,1
92.93824,-11.83851,756.951,1
92.70496,-11.76507,749.8923,1
