ra,dec,d,phase,start_times,end_times
106.9751,-11.01579,1130.4,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
83.5145,-2.23028,375.3,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
81.1213,1.32867,369.6,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
80.23098,-0.56867,354.4,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
2.68548,58.34982,428.9,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
347.57604,64.46363,377.7,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
80.11044,1.08584,350.6,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
80.95037,-2.52366,358.8,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
81.07582,2.83056,345.7,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
97.29555,-10.11724,911.7,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
107.2163,-11.90662,1175.9,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
338.85514,72.26832,249.5,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
304.39959,40.80005,1033.3,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
82.98348,9.29612,401.6,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
308.21079,40.22193,957.7,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
75.72024,-6.79878,337.2,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
305.25522,39.62849,1023.8,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
317.85236,47.05313,744.4,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
328.3735,65.6018,456.9,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
85.50605,-1.50217,455.1,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
2.49578,76.77561,151.3,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
105.70363,-11.43362,1108.2,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
97.89168,-9.49861,967.9,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
306.15508,38.53213,995.4,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
87.42889,1.05664,338.1,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
331.77546,59.12401,453.1,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
71.85411,-11.27765,285.7,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
305.71919,32.79872,1060.6,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
354.81494,55.9595,417.4,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
359.43677,55.37415,397.0,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
306.13358,42.33227,993.9,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
306.13593,39.03189,979.6,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
306.8555,39.98664,957.4,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
95.01504,-8.47986,909.7,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
85.09625,-8.43227,429.1,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
315.45315,50.51777,620.2,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
82.04057,1.73437,391.4,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
83.0253,-6.30297,385.3,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
79.46463,-5.29317,332.2,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
93.47248,-5.84088,835.3,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
317.51291,45.6303,770.8,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
306.2411,38.97427,949.8,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
314.66267,43.82027,792.4,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
317.75207,46.98018,733.8,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
317.59165,76.71089,373.8,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
81.82284,11.56775,391.6,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
78.48843,6.60813,394.6,354,2023-10-12T11:55:55Z,2023-10-13T11:55:55Z
