ra,dec,d,phase,start_times,end_times
115.45811,-6.54297,1141.5,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
111.06485,11.87635,365.3,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
106.79303,14.78118,355.9,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
105.88488,12.92959,336.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
6.03246,42.68885,455.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
357.74929,46.82024,389.9,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
105.26418,14.39577,334.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
107.68681,11.3708,340.4,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
105.80107,15.85205,333.7,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
116.33669,-0.3668,918.5,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
114.1201,-8.28573,1182.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
357.77543,49.19291,250.0,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
306.44713,39.71892,1032.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
107.15289,21.63467,402.0,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
311.68817,38.14867,959.3,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
101.39169,6.58776,300.2,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
307.66788,38.29755,1023.4,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
311.02701,50.89899,747.2,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
343.62024,53.35963,453.7,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
113.87744,12.84945,453.8,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
9.19575,49.70254,150.7,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
115.18589,-6.46506,1117.5,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
114.34159,-1.08592,970.7,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
309.41536,36.64326,996.5,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
114.60892,14.6557,344.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
343.58281,47.33536,461.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
95.77437,0.65827,242.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
305.22934,33.08332,1060.3,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
0.56915,40.41216,446.6,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
3.82464,39.0356,429.4,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
309.78377,40.31988,992.9,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
309.81685,36.90056,980.6,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
310.46212,37.8928,958.3,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
114.49205,1.43418,910.6,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
115.27337,6.75312,416.8,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
313.64448,51.49502,621.2,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
108.1459,15.29364,380.8,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
111.70776,8.27226,368.4,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
106.16451,8.53354,307.5,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
116.24163,5.7168,847.0,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
311.10294,49.34068,772.4,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
309.81685,36.90056,950.8,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
309.00116,47.0206,793.9,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
311.05451,50.75892,736.6,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
348.90074,60.5081,353.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
104.63789,23.36665,390.4,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
101.8392,19.29514,378.4,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
109.37143,21.17361,415.2,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
110.32306,21.14071,407.9,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
108.90761,13.03942,358.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
111.30105,13.49404,402.4,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
114.06348,13.88733,423.5,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
115.16843,5.61637,430.8,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
116.10305,5.32254,861.4,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
117.13154,5.51186,851.8,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
114.75534,2.23226,828.6,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
118.32502,0.79347,681.9,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
118.59475,0.49734,664.7,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
115.36795,-7.83524,1178.0,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
115.11875,-8.42403,1189.7,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
353.52499,46.72969,490.4,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
112.27957,11.47191,395.3,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
354.68999,54.06467,336.3,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
338.30191,42.1893,460.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
109.97632,12.01748,349.6,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
110.48709,12.36434,397.7,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
111.5065,9.59127,376.7,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
307.02115,39.64929,1024.0,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
311.04342,44.28373,873.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
308.73924,46.78065,817.9,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
313.52117,51.55917,625.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
317.77572,50.80089,561.6,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
311.9551,59.53871,757.8,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
327.3482,55.51136,448.5,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
343.5469,53.44957,454.7,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
353.87242,52.24812,395.1,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
354.3014,53.78872,335.9,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
4.23866,41.30715,448.8,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
92.11825,22.66951,303.4,204,2025-05-04T11:55:55Z,2025-05-05T11:55:55Z
